净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,1.0796,1.0796,0.04%,开放申购,开放赎回,
2016-07-19,1.0792,1.0792,0.13%,开放申购,开放赎回,
2016-07-18,1.0778,1.0778,0.03%,开放申购,开放赎回,
2016-07-15,1.0775,1.0775,0.09%,开放申购,开放赎回,
2016-07-14,1.0765,1.0765,-0.14%,开放申购,开放赎回,
2016-07-13,1.0780,1.0780,0.34%,开放申购,开放赎回,
2016-07-12,1.0744,1.0744,0.58%,开放申购,开放赎回,
2016-07-11,1.0682,1.0682,-0.08%,开放申购,开放赎回,
2016-07-08,1.0691,1.0691,-0.16%,开放申购,开放赎回,
2016-07-07,1.0708,1.0708,0.27%,开放申购,开放赎回,
2016-07-06,1.0679,1.0679,0.01%,开放申购,开放赎回,
2016-07-05,1.0678,1.0678,-0.21%,开放申购,开放赎回,
2016-07-04,1.0700,1.0700,0.45%,开放申购,开放赎回,
2016-07-01,1.0652,1.0652,0.00%,开放申购,开放赎回,
2016-06-30,1.0652,1.0652,0.12%,开放申购,开放赎回,
2016-06-29,1.0639,1.0639,0.15%,开放申购,开放赎回,
2016-06-28,1.0623,1.0623,0.13%,开放申购,开放赎回,
2016-06-27,1.0609,1.0609,0.62%,开放申购,开放赎回,
2016-06-24,1.0544,1.0544,-0.43%,开放申购,开放赎回,
2016-06-23,1.0590,1.0590,-0.26%,开放申购,开放赎回,
2016-06-22,1.0618,1.0618,0.37%,开放申购,开放赎回,
2016-06-21,1.0579,1.0579,-0.37%,开放申购,开放赎回,
2016-06-20,1.0618,1.0618,0.19%,开放申购,开放赎回,
2016-06-17,1.0598,1.0598,-0.08%,开放申购,开放赎回,
2016-06-16,1.0606,1.0606,-0.08%,开放申购,开放赎回,
2016-06-15,1.0614,1.0614,1.29%,开放申购,开放赎回,
2016-06-14,1.0479,1.0479,0.30%,开放申购,开放赎回,
2016-06-13,1.0448,1.0448,-1.10%,开放申购,开放赎回,
2016-06-08,1.0564,1.0564,0.00%,开放申购,开放赎回,
2016-06-07,1.0564,1.0564,0.54%,开放申购,开放赎回,
2016-06-06,1.0507,1.0507,0.32%,开放申购,开放赎回,
2016-06-03,1.0473,1.0473,0.15%,开放申购,开放赎回,
2016-06-02,1.0457,1.0457,0.11%,开放申购,开放赎回,
2016-06-01,1.0445,1.0445,0.02%,开放申购,开放赎回,
2016-05-31,1.0443,1.0443,1.12%,开放申购,开放赎回,
2016-05-30,1.0327,1.0327,-0.15%,开放申购,开放赎回,
2016-05-27,1.0343,1.0343,-0.21%,开放申购,开放赎回,
2016-05-26,1.0365,1.0365,0.03%,开放申购,开放赎回,
